bigram,count
PUNCT PROPN,5322103
PROPN PROPN,10778044
PROPN ADV,153375
ADV PUNCT,433231
PUNCT AUX,228351
AUX DET,471654
DET ADJ,2090231
ADJ NOUN,4341812
NOUN NOUN,3496409
NOUN ADP,5332441
ADP DET,4633046
ADJ ADJ,693203
NOUN DET,204924
DET PROPN,2131686
PROPN PUNCT,6708955
PUNCT DET,1915944
DET VERB,297019
VERB ADP,2784992
ADP PROPN,3198819
PROPN ADP,1736046
PROPN NUM,1718074
NUM PUNCT,2473295
PUNCT NUM,1553700
DET NOUN,4474628
NOUN AUX,1222716
AUX VERB,1576020
PROPN CCONJ,861669
CCONJ PROPN,764894
PUNCT CCONJ,862078
CCONJ VERB,468820
NOUN VERB,1503735
VERB NUM,234635
PUNCT NOUN,1984152
NOUN PUNCT,5792868
PUNCT ADV,539469
ADV VERB,776050
VERB NOUN,1107704
CCONJ PRON,141409
PRON NOUN,818661
ADP ADP,248998
NOUN PART,494819
PART VERB,976609
VERB DET,1545452
ADP NOUN,1676506
NOUN ADV,301570
ADV ADP,399618
PUNCT ADP,1347457
VERB PROPN,650247
PROPN PART,622355
PART NOUN,393859
PUNCT VERB,1172005
PART ADJ,146297
NOUN CCONJ,1048197
CCONJ NOUN,572111
PUNCT PUNCT,2338408
VERB ADJ,480326
ADJ VERB,71504
PROPN NOUN,1458178
PUNCT ADJ,855124
ADJ ADP,462392
ADJ AUX,19914
ADP ADJ,918632
PUNCT PRON,1045506
PRON PROPN,103576
CCONJ DET,380482
PROPN VERB,1051391
VERB PRON,558977
CCONJ ADV,153573
ADP NUM,1015575
NUM ADP,321028
NOUN PRON,328862
PRON AUX,787580
AUX AUX,278789
PROPN AUX,606070
VERB PART,351869
PART ADV,53751
PUNCT SCONJ,312536
SCONJ DET,271755
PROPN PRON,79293
AUX PART,255673
PART AUX,165472
ADP PRON,643267
PRON ADJ,257449
ADJ CCONJ,190855
CCONJ ADP,124007
CCONJ ADJ,342674
NOUN SCONJ,167751
SCONJ PROPN,134591
VERB PUNCT,617050
ADP VERB,345688
PRON ADP,116933
NOUN PROPN,992963
DET NUM,265793
DET PUNCT,127355
PRON PART,32752
SCONJ PRON,252712
PRON VERB,730425
PRON PUNCT,142535
VERB SCONJ,285275
VERB VERB,202744
PROPN ADJ,161413
ADJ PUNCT,560242
PRON ADV,123102
DET AUX,161443
AUX ADV,480386
ADP CCONJ,32880
PRON NUM,24363
NUM NOUN,1114678
AUX ADJ,297212
ADJ ADV,31287
ADV PART,25640
VERB ADV,299558
ADV PRON,31210
CCONJ AUX,136775
PROPN SCONJ,51063
AUX NOUN,79918
PRON PRON,79926
ADP PUNCT,213477
PUNCT PART,62446
ADV ADJ,318099
VERB CCONJ,140598
ADV PROPN,54962
CCONJ PART,23002
CCONJ SCONJ,34924
NOUN NUM,466238
CCONJ NUM,120814
DET DET,51512
NUM CCONJ,114697
ADJ DET,13533
AUX PRON,44705
ADV DET,112533
ADV ADV,194374
ADJ PROPN,466155
AUX ADP,109849
ADJ X,6499
X PRON,6412
AUX PUNCT,61688
ADV SCONJ,27579
AUX PROPN,61791
DET ADV,141700
ADJ PRON,8149
CCONJ PUNCT,58015
PUNCT INTJ,18758
INTJ PUNCT,13512
PART PRON,3756
ADP ADV,95758
VERB AUX,47557
PRON DET,38195
SCONJ ADP,45431
ADV CCONJ,31770
ADV AUX,83979
