tag,probability
DATE,0.17911518142941474
WORK_OF_ART,0.018650436130567292
ORG,0.19565650906283374
PERSON,0.2223072936772709
TIME,0.004285149930678748
FAC,0.01212363366534433
GPE,0.12043506408648408
NORP,0.050988777918139334
CARDINAL,0.11589714318331003
QUANTITY,0.004014714430987426
ORDINAL,0.02256138648513461
PERCENT,0.00953265609298511
PRODUCT,0.009689233500715743
EVENT,0.00847074162474596
LANGUAGE,0.002125451188975893
LAW,0.003270100534592281
LOC,0.013820509777826511
MONEY,0.00705601727999327
