trigram,count
PUNCT PROPN PROPN,2239065
PROPN PROPN ADV,47585
PROPN ADV PUNCT,17834
ADV PUNCT AUX,6962
PUNCT AUX DET,47326
AUX DET ADJ,187141
DET ADJ NOUN,1494281
ADJ NOUN NOUN,580330
NOUN NOUN ADP,553797
NOUN ADP DET,1986784
ADP DET ADJ,946304
DET ADJ ADJ,192300
ADJ ADJ ADJ,118187
ADJ ADJ NOUN,477757
NOUN NOUN NOUN,788254
NOUN NOUN DET,40349
NOUN DET PROPN,36105
DET PROPN PROPN,1028804
PROPN PROPN PUNCT,3233815
PROPN PUNCT DET,496763
PUNCT DET VERB,113232
DET VERB ADP,42120
VERB ADP PROPN,563714
ADP PROPN ADP,249528
PROPN ADP PROPN,903543
ADP PROPN NUM,283262
PROPN NUM PUNCT,760634
NUM PUNCT NUM,472457
PUNCT NUM PUNCT,839861
NUM PUNCT DET,194402
PUNCT DET NOUN,777481
DET NOUN AUX,407979
NOUN AUX VERB,517916
AUX VERB ADP,820399
ADP PROPN PROPN,1134232
PROPN PROPN PROPN,4289410
PROPN PROPN CCONJ,338481
PROPN CCONJ PROPN,544469
CCONJ PROPN PROPN,329211
PROPN PUNCT CCONJ,232214
PUNCT CCONJ VERB,111202
CCONJ VERB ADP,117419
DET NOUN VERB,374820
NOUN VERB ADP,494834
VERB ADP DET,1032445
ADP DET VERB,76812
DET VERB NUM,8041
VERB NUM PUNCT,35732
NUM PUNCT NOUN,263406
PUNCT NOUN NOUN,453967
NOUN NOUN PUNCT,984759
NOUN PUNCT ADV,236774
PUNCT ADV VERB,90149
ADV VERB NOUN,73892
VERB NOUN VERB,48115
ADP DET PROPN,1161509
PROPN PUNCT PROPN,2756422
PUNCT PROPN PUNCT,1506612
PUNCT CCONJ PRON,65138
CCONJ PRON NOUN,46833
PRON NOUN VERB,87681
VERB ADP ADP,107090
ADP ADP DET,89775
ADP DET NOUN,2107352
DET NOUN PART,200312
NOUN PART VERB,261100
PART VERB DET,265166
