epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1,0.691641,0.685021,0.523640,0.552840,0.520127,0.549397
2,0.677342,0.666323,0.571560,0.596960,0.562477,0.551859
3,0.645605,0.629623,0.623720,0.650320,0.617710,0.682525
4,0.606457,0.598549,0.671400,0.675240,0.672931,0.703394
5,0.581413,0.575965,0.688440,0.694880,0.694249,0.695780
6,0.564159,0.565055,0.705840,0.704400,0.710700,0.711193
7,0.544735,0.549598,0.717880,0.715480,0.722574,0.726118
8,0.528902,0.546814,0.732080,0.719600,0.735654,0.736684
9,0.513607,0.549475,0.744720,0.724960,0.749076,0.746554
10,0.502270,0.541746,0.751480,0.728040,0.755018,0.743695
