threshold,fpr,tpr
inf,0.00000000,0.00000000
0.99092811,0.00000000,0.00208000
0.99096340,0.00000000,0.00200000
0.99038982,0.00000000,0.00264000
0.99047005,0.00000000,0.00248000
0.99045777,0.00000000,0.00256000
0.99055535,0.00000000,0.00240000
0.99069136,0.00000000,0.00232000
0.99228948,0.00000000,0.00088000
0.99080479,0.00000000,0.00224000
0.99283618,0.00000000,0.00072000
0.99251336,0.00000000,0.00080000
0.99191308,0.00000000,0.00104000
0.99201947,0.00000000,0.00096000
0.99172056,0.00000000,0.00112000
0.99165714,0.00000000,0.00120000
0.99296910,0.00000000,0.00064000
0.99159276,0.00000000,0.00128000
0.99087077,0.00000000,0.00216000
0.99378479,0.00000000,0.00024000
0.99367368,0.00000000,0.00032000
0.99362576,0.00000000,0.00040000
0.99335951,0.00000000,0.00048000
0.99310303,0.00000000,0.00056000
0.99150753,0.00000000,0.00160000
0.99129689,0.00000000,0.00168000
0.99108678,0.00000000,0.00176000
0.99157298,0.00000000,0.00136000
0.99155009,0.00000000,0.00144000
0.99154073,0.00000000,0.00152000
0.99385566,0.00000000,0.00016000
0.99539560,0.00000000,0.00008000
0.99107367,0.00000000,0.00184000
0.99106419,0.00000000,0.00192000
0.98932844,0.00008000,0.00408000
0.98934233,0.00008000,0.00400000
0.98940241,0.00008000,0.00392000
0.98944843,0.00008000,0.00384000
0.98952508,0.00008000,0.00376000
0.99034739,0.00008000,0.00264000
0.98984283,0.00008000,0.00320000
0.98986185,0.00008000,0.00312000
0.98974001,0.00008000,0.00344000
0.98954225,0.00008000,0.00368000
0.98958367,0.00008000,0.00360000
0.98973769,0.00008000,0.00352000
0.98984081,0.00008000,0.00328000
0.98980016,0.00008000,0.00336000
0.98997110,0.00008000,0.00304000
0.99017465,0.00008000,0.00280000
0.99003965,0.00008000,0.00288000
0.98998559,0.00008000,0.00296000
0.99024862,0.00008000,0.00272000
0.98668891,0.00016000,0.00760000
0.98680019,0.00016000,0.00712000
